Initializing SD card...
Card initialized.
Waiting for key...
Key received. Dumping file...
Timestamp,Sensor,BME_Temperature,BME_Pressure,BME_Humidity,BME_Gas_Resistance,BME_Altitude,ENS_AQI,ENS_TVOC,ENS_eCO2,ENS_HP0,ENS_HP1,ENS_HP2,ENS_HP3,LSM_Accel_X,LSM_Accel_Y,LSM_Accel_Z,LSM_Gyro_X,LSM_Gyro_Y,LSM_Gyro_Z,MPL_Pressure,MPL_Altitude,BNO_Accel_X,BNO_Accel_Y,BNO_Accel_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z,BNO_Gyro_X,BNO_Gyro_Y,BNO_Gyro_Z,BNO_Euler_Heading,BNO_Euler_Roll,BNO_Euler_Pitch,BNO_Linear_Accel_X,BNO_Linear_Accel_Y,BNO_Linear_Accel_Z,BNO_Gravity_X,BNO_Gravity_Y,BNO_Gravity_Z,BNO_Calibration_System,BNO_Calibration_Gyro,BNO_Calibration_Accel,BNO_Calibration_Mag1581,FRANC,,,,,,,,,,,,,-7.45,0.26,6.26,0.05,-0.38,-2.83,982.38,262.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
3386,FRANC,,,,,,,,,,,,,-7.52,0.07,6.38,-0.04,-0.01,0.04,982.52,263.38,0.55,8.57,4.70,-28.06,-50.88,-28.88,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.02,-0.01,-0.02,0.56,8.56,4.74,0,3,1,0
3397,FRANC,,,,,,,,,,,,,-7.45,0.26,6.38,0.00,-0.06,0.00,,,0.55,8.58,4.73,-27.00,-51.56,-29.56,-0.00,0.00,0.00,-60.94,359.94,3.31,-0.03,-0.01,-0.03,0.56,8.56,4.74,0,3,1,0
3436,FRANC,,,,,,,,,,,,,-7.52,0.10,6.30,0.00,0.01,-0.05,982.20,263.56,0.54,8.55,4.71,-27.00,-51.56,-29.56,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.02,0.00,-0.03,0.56,8.56,4.74,0,3,1,0
3447,FRANC,,,,,,,,,,,,,-7.32,0.21,6.31,-0.02,0.05,0.00,,,0.55,8.55,4.70,-27.75,-51.56,-28.88,0.00,-0.01,-0.00,-60.94,359.94,3.31,-0.02,0.01,-0.02,0.56,8.56,4.74,0,3,1,0
3490,FRANC,,,,,,,,,,,,,-7.47,0.25,6.34,0.05,-0.02,-0.05,982.28,261.62,0.55,8.56,4.68,-27.75,-51.56,-28.88,0.00,0.00,0.00,-60.94,359.94,3.31,-0.01,0.00,-0.06,0.56,8.56,4.74,0,3,1,0
3500,FRANC,,,,,,,,,,,,,-7.65,0.13,6.43,-0.03,0.02,-0.02,,,0.55,8.58,4.72,-28.50,-51.56,-29.25,-0.01,0.00,0.00,-60.94,359.94,3.31,-0.01,0.02,-0.02,0.56,8.56,4.74,0,3,1,0
3540,FRANC,,,,,,,,,,,,,-7.29,0.19,6.36,0.00,-0.02,-0.04,982.28,256.06,0.55,8.57,4.71,-28.50,-51.56,-29.25,-0.00,-0.00,0.00,-60.94,359.94,3.31,-0.01,0.01,-0.03,0.56,8.56,4.74,0,3,1,0
3551,FRANC,,,,,,,,,,,,,-7.38,0.01,6.34,-0.03,-0.10,0.04,,,0.55,8.57,4.70,-27.38,-51.56,-29.25,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.01,0.01,-0.03,0.56,8.56,4.74,0,3,1,0
3592,FRANC,,,,,,,,,,,,,-7.43,0.04,6.33,-0.02,-0.03,-0.05,982.57,259.94,0.53,8.55,4.69,-27.38,-51.56,-29.25,0.00,-0.00,-0.00,-60.94,359.94,3.31,-0.04,0.01,-0.02,0.56,8.56,4.74,0,3,1,0
3604,FRANC,,,,,,,,,,,,,-7.26,0.21,6.30,0.01,0.01,0.01,,,0.54,8.57,4.72,-27.75,-51.56,-29.56,0.00,0.00,0.00,-60.94,359.94,3.31,-0.02,0.01,-0.02,0.56,8.56,4.74,0,3,1,0
3701,FRANC,,,,,,,,,,,,,-7.48,0.08,6.22,0.01,-0.02,0.01,982.42,263.75,0.55,8.57,4.72,-27.75,-51.56,-30.38,0.00,-0.00,0.00,-60.94,359.94,3.31,-0.01,0.00,-0.03,0.56,8.56,4.74,0,3,1,0
3713,FRANC,,,,,,,,,,,,,-7.29,0.13,6.55,0.05,0.02,0.00,,,0.57,8.54,4.70,-27.75,-50.56,-29.25,0.00,0.00,0.00,-60.94,359.94,3.31,0.00,-0.01,-0.03,0.56,8.56,4.74,0,3,1,0
3749,FRANC,,,,,,,,,,,,,-7.51,0.19,6.35,-0.02,0.02,-0.04,982.32,260.06,0.53,8.59,4.72,-27.75,-50.56,-29.25,0.00,0.00,0.00,-60.94,359.94,3.31,-0.03,0.03,-0.01,0.56,8.56,4.74,0,3,1,0
3790,FRANC,,,,,,,,,,,,,-7.56,0.11,6.21,-0.02,0.01,-0.02,982.28,260.06,0.54,8.56,4.72,-27.75,-51.25,-29.25,0.00,-0.00,-0.00,-60.94,359.94,3.31,-0.02,0.00,-0.02,0.56,8.56,4.74,0,3,1,0
3800,FRANC,,,,,,,,,,,,,-7.29,0.11,6.35,0.01,0.03,-0.08,,,0.54,8.53,4.70,-28.06,-51.56,-28.06,0.00,0.00,-0.00,-60.94,359.94,3.31,-0.02,-0.02,-0.04,0.56,8.56,4.74,0,3,1,0
3840,FRANC,,,,,,,,,,,,,-7.39,0.21,6.18,0.04,-0.02,-0.08,982.45,262.12,0.54,8.55,4.72,-28.06,-51.56,-28.06,-0.00,0.00,0.00,-60.94,359.94,3.31,-0.02,0.00,-0.01,0.56,8.56,4.74,0,3,1,0
3851,FRANC,,,,,,,,,,,,,-7.66,-0.08,6.31,0.01,0.06,-0.02,,,0.54,8.55,4.71,-29.88,-50.88,-29.69,0.01,0.00,-0.00,-60.94,359.94,3.31,-0.02,0.00,-0.03,0.56,8.56,4.74,0,3,1,0
3891,FRANC,,,,,,,,,,,,,-7.49,0.20,6.23,0.00,0.01,-0.06,982.28,260.94,0.55,8.58,4.69,-29.88,-50.88,-29.69,0.01,-0.00,-0.00,-60.94,359.94,3.31,-0.01,0.00,-0.01,0.56,8.56,4.74,0,3,1,0
